Life,Calorie,Protein,Fat,GDP,School
61.9824,2198,60.7,42.44,1516.2733,2.98507
76.4626,3399,120.13,114.45,14596.016,10.121144
76.3767,3496.0005,93.740005,100.75001,11029.139,6.9874434
61.6434,2388.9995,46.77999,51.26999,5911.8354,5.8442917
78.4968,2407.7676,89.44136,93.77095,20501.162,10.546229
75.3899,3340.9995,119.94998,139.52998,21599.797,11.14408
84.5265,3453.9995,119.54998,151.67996,49609.23,12.72682
81.5797,3818.9976,110.189926,184.39987,53817.305,12.305714
69.3658,3383.9995,98.48998,94.89999,14433.904,10.556129
71.5983,2572.937,99.40757,101.9175,30463.084,12.731615
78.7605,3488.0095,105.77029,129.32036,49754.047,11.04659
72.3811,2614.0002,65.50001,36.730003,5911.013,7.37906
77.5714,3173.955,108.14847,108.42846,13869.242,9.892061
72.438,3319.9993,110.63998,128.67996,19872.693,12.241224
81.8787,3892.0012,111.810036,181.18005,52174.906,12.528578
70.4697,2848.9502,82.73855,104.39818,8826.859,8.8476
59.821,2766.9998,70.09,62.459995,3321.552,3.1372616
71.815,3240.9583,91.22883,73.10906,11595.684,5.8357944
63.6304,2360.9993,79.36997,56.38998,8052.6,9.82775
75.3003,3369.9917,109.97973,93.50977,15893.156,10.53632
61.1409,2604.9958,72.40989,73.349884,14906.897,10.42
72.7504,3299,101.8,136.91,14735.582,8.278308
71.798,2951.0027,91.48009,122.5901,24386.18,11.41318
59.2696,2662.9988,90.30995,66.84997,2176.0933,2.3186853
61.6627,1774.9993,40.189983,15.509994,714.0667,3.3052156
69.5835,2810.998,64.27995,39.499973,4354.5654,5.1971
60.3334,2807,71.64,57.869995,3689.359,6.5374017
82.6565,3589,111.92,161.97,48356.332,13.868766
74.0518,2636.9282,75.61794,76.82791,6356.745,6.0900393
53.8947,1784.9951,49.399864,59.949837,838.19293,3.9531639
52.5254,2202.9995,77.40999,70.54999,1425.4945,2.2827535
78.9435,3128.001,106.80003,97.28003,25412.752,11.111368
78.2107,3406,124.92,94.27,17657.656,8.106911
72.8296,3091,80.39,99.54,14661.213,8.86286
63.4174,2466.994,67.74983,59.989857,3228.5269,6.209057
63.5187,2193.9985,55.25996,57.36996,3700.27,8.250552
77.0232,2989.0005,88.780014,106.70002,21220.162,8.80406
58.5983,2919,65.23,53.65,5316.464,4.2369776
77.5804,3259.0007,106.86002,132.71004,32060.504,12.328718
73.6829,3416.999,98.449974,83.89998,48436.38,10.548072
81.2033,3042.9924,104.27974,115.93972,43417.27,12.44017
77.7283,3404.0007,97.23002,157.23003,40744.457,12.916054
59.193,2096,28.59,22.97,1073.6433,7.206165
81.3753,3583.9966,113.18989,150.10985,58802.96,12.96049
62.3049,2813.995,75.63987,70.40988,4905.192,3.8899841
72.814,2981.9707,99.175766,83.09132,10899.414,9.186344
72.6146,3106.9993,80.67998,104.50997,18626.078,9.150526
67.7369,2194.9932,52.879837,52.70984,5038.926,6.0200596
73.67,2582.0007,69.820015,96.120026,10668.758,9.11301
70.2207,3126.9998,91.46,58.219997,12180.451,9.848103
70.7479,2791.0022,85.700066,73.65006,9190.174,7.15093
77.1436,3288.99,111.60966,143.42955,38717.695,8.281327
57.0657,2548.9937,60.82985,61.209846,9086.701,5.0913644
64.9748,2470.0002,75.94001,49.360004,2319.1611,13.54843
67.114,2875.9844,79.40958,85.01954,10379.567,10.37097
82.0381,3319.005,122.88018,129.9102,48614.82,12.929155
82.4988,3603.9995,122.61999,152.51999,44941.438,11.688593
65.821,2594.9944,88.38981,54.539883,13822.509,9.55
62.083,2432.998,62.21995,60.76995,2076.5664,4.51242
71.694,3053.9968,89.5199,87.019905,15486.659,12.742187
80.6301,3633.9995,110.539986,165.76997,53395.65,14.25594
63.7954,3078.9995,68.659996,46.159992,5420.792,6.432318
80.1106,3349.9976,106.19992,155.50989,29630.93,11.40853
74.9362,2608.707,98.40894,101.218636,13688.298,9.8579645
80.535,2756.9995,69.47999,69.68999,8927.302,5.6686482
58.8922,2902.0002,59.600002,61.540005,2640.3442,2.359103
59.6523,2166.9895,47.759766,56.319725,1831.3832,3.673035
65.6734,3193.996,107.76987,69.82992,21925.223,8.627409
63.1924,2075.9993,48.399982,43.01998,2881.1765,5.6094685
70.1229,2667.001,63.210022,90.60003,5572.177,7.2962008
85.4734,3050,142.81,128.71,60037.445,12.30725
74.5301,3421.0022,93.60006,152.2401,33583.785,12.24959
82.6782,3611.9219,145.61684,159.63655,53135.953,13.76717
67.2398,2569,70.52,60.36,6677.185,6.53279
67.5703,2916,79.75,79.62,11859.437,8.55651
73.8749,2895,80.97,77.56,15004.6875,10.746183
70.3779,2304.6921,60.057514,58.60797,8786.582,6.811879
81.9976,3861.0037,128.86012,152.45015,104671.875,11.656957
82.255,3701.001,129.64003,154.56004,42379.156,13.442791
82.8502,3732.9995,118.01998,160.58998,42562.555,10.74011
70.5003,2881.999,88.32997,81.839966,9605.191,9.248189
84.7839,2659,91.99,91.85,41258.71,12.66923
74.2563,2150.9985,59.159958,81.349945,9380.045,10.44668
69.3622,3366.0005,108.250015,140.14001,26110.53,12.433379
61.427,2217.9998,55.159992,55.609993,4745.637,7.68636
67.4172,3096.6875,88.1311,129.06697,2007.987,9.128582
78.6729,3495.999,117.62997,114.66997,45579.688,7.441743
69.9774,2694.9993,91.46998,80.89998,4910.0864,11.96132
68.0608,2718.002,77.73006,42.52003,7846.975,5.9469705
73.5786,3279.9895,106.15967,148.85953,31833.842,13.333303
75.0472,2893.002,78.830055,99.40007,12986.913,8.602969
53.062,2034.9874,54.83966,43.92973,2239.3052,7.5450587
60.7472,2096.9993,45.59998,40.759983,1423.2296,5.3181043
73.7201,3354.9976,129.4299,118.839905,39432.402,13.4981
82.6287,3470.9458,118.12815,131.85794,118510,12.960081
64.4853,1978.9999,39.209995,22.519999,1482.3761,4.59252
62.9044,2632.9998,65.85999,45.659996,1491.1337,5.24374
74.8839,2962,89.47,104.51,26407.316,10.748281
79.9182,2587.9553,95.28836,70.558784,18757.78,7.7623925
58.9414,2733.9988,73.95997,43.84998,2120.6233,1.62671
83.7769,3333.9937,101.32981,129.18976,46598.96,12.21026
64.3636,2970.9932,85.1798,66.18985,5142.2812,4.754063
73.5552,3062.9717,95.17912,100.599075,20915.217,9.99205
70.2127,3278,99.55,104.37,19617.76,9.22105
70.71,2753.6836,77.21113,114.436844,3320.9114,7.332524
68.8459,2532.637,79.65214,88.38711,13703.939,11.833816
70.9754,3051.9983,126.09992,121.07993,11668.431,9.4237
76.3426,3556.0225,129.07083,134.92085,20710.535,12.616213
74.0419,3381.999,101.62997,76.24998,8065.986,6.05
59.3247,2169.9998,44.399998,41.639996,1231.8641,3.86009
65.6716,2817.9995,78.719986,55.12999,4113.8936,6.5181575
59.269,2564,70.64,69.68,9208.583,7.2434583
63.617,3028.4321,120.32877,127.68525,10989.622,9.247975
68.4495,2945.0002,82.96001,64.44001,3853.6802,4.4855986
81.6873,3464.0007,112.620026,139.56003,57334.703,12.58163
82.4513,3128,95.27,120.13,44041.902,12.94469
73.8368,2653.9978,70.96994,61.319946,5692.035,7.26
61.5763,2537.9998,87.53999,53.939995,1186.53,1.3413525
52.676,2502.9998,59.079998,57.079998,4922.6323,7.58597
73.8415,3164.0017,91.30005,107.96005,16708.598,10.22815
83.2339,3508.9993,127.28998,139.56998,65915.53,13.062343
72.5406,3045.9976,93.95992,96.099915,34294.766,11.87196
79.07001,2485.0002,70.770004,79.07001,5233.4595,4.422319
76.2233,3036.0042,97.90014,99.89014,30416.793,10.686963
65.3506,2204.0005,64.47002,62.220016,3637.9133,4.933631
70.2617,3124.999,74.88998,91.02997,13676.391,8.86184
72.3769,2797.0005,88.01002,69.00001,12533.842,10.016962
69.2664,2832.9998,75.509995,53.709995,8095.5796,8.97141
76.4572,3554.0005,118.17002,131.31001,34944.04,13.16475
81.0443,3525.9968,119.55989,149.83986,33636.44,9.57594
79.2716,3496.0012,116.280045,114.66005,92895.34,10.1317215
74.1847,3665.0005,110.22002,134.62001,30946.277,11.360196
69.419,3382.0002,114.380005,115.39001,28057.031,12.41153
66.0722,2267.9998,57.249992,27.109999,2237.514,4.87831
71.6822,2866.7356,98.41659,114.36955,26460.477,10.8494005
71.1114,2648.8083,104.19245,83.33396,13045.966,8.576973
69.6291,2950.7173,114.789,94.920906,13839.464,10.996254
72.7675,3069.7053,106.2498,106.42979,5534.566,11.367356
67.5912,2462.9116,62.047775,59.327873,3502.4353,5.915789
76.936,3250.0002,92.29001,102.00001,46768.434,11.31053
67.0926,2792.999,70.13998,78.54998,3511.6375,2.8873668
74.1923,3578.9995,124.749985,105.82999,19860.31,11.504761
71.2945,3186.5212,113.64293,90.35642,27928.373,11.19995
60.0624,2335.9993,55.369984,43.759987,1614.8599,3.5194263
80.6904,3096.0027,100.620094,109.7101,40104.36,12.880157
70.3477,2345.9834,59.869576,52.699627,2397.3228,5.87968
62.341,2775.9998,84.159996,96.37999,13337.79,11.60697
54.9752,2413.998,74.50994,86.37993,418.97,5.72614
83.01,3389.9998,114.899994,158.14998,38319.29,10.6054
76.3991,2860.0002,77.020004,49.530003,13250.63,11.24961
65.2667,2621.9998,72.34999,72.479996,3701.069,3.87
70.2743,2634.0042,74.17012,73.830124,14811.24,8.388632
82.9833,3268.0015,111.09004,136.74007,54160.367,12.67372
83.9872,3402.0005,101.960014,162.71002,71044.87,13.904066
71.5942,2769.9949,83.19984,81.99985,3910.4626,5.639968
66.2007,2379.9998,56.609997,59.519997,2584.3977,8.83456
78.7154,2856,67.46,63.629997,17087.21,5.590314
61.6194,2533.0002,55.29001,54.320007,2130.859,10.880286
72.9709,2937.979,85.939384,95.58931,23036.256,11.738003
73.7719,3471.0002,102.840004,96.840004,10395.913,7.953393
76.0324,3824.9995,115.66998,141.19998,31722.16,8.811284
69.2644,2847,97.89,83.43,14696.823,11.142994
71.624,2937.9998,92.079994,90.81999,12949.326,11.1233015
78.7104,3306.0005,113.63001,138.81001,70028.02,12.77375
80.7422,3362,109.63,134.75,45567.57,13.40612
77.1982,3911,124.33,178.3,63635.824,13.5755
75.4356,3282.995,98.029854,117.51983,23257.256,9.05822
70.8616,3266.9998,104.42999,105.12999,7800.5015,11.8834
70.449,2818.947,77.26855,112.667885,2800.494,7.18321
70.5536,2310.0005,62.570015,78.79002,2090.4,9.628155
73.6181,3048.0002,96.90001,63.030003,10628.22,8.455349
61.2234,2219.9998,46.739998,47.569996,3287.4204,7.284893
59.2531,2048.9993,57.60998,74.83997,2115.1445,8.807762